location,size,total_sqft,bath,price,enc_loc
Kanakpura Road,3,1100.0,3,58.0,120
Gunjur,3,1356.0,2,66.0,80
TC Palaya,3,1200.0,2,66.0,197
others,2,1180.0,2,69.0,219
7th Phase JP Nagar,2,1070.0,2,42.79,7
Varthur,2,1385.0,2,80.0,206
Magadi Road,2,1005.0,2,55.78,148
Harlur,2,1174.0,2,69.0,85
Whitefield,3,2225.0,2,125.0,213
Jigani,2,918.0,2,52.0,106
Mahadevpura,2,1250.0,2,52.0,149
Sarjapur  Road,3,1800.0,3,110.0,185
Marathahalli,2,1170.0,2,53.0,153
Bannerghatta Road,2,793.0,2,45.0,35
Kambipura,3,1082.0,2,57.5,116
Thanisandra,2,1142.5,2,43.415,199
Marathahalli,2,1019.0,2,49.86,153
Kasavanhalli,3,1799.0,3,90.0,123
NGR Layout,2,1020.0,2,45.9,159
Whitefield,2,1495.0,2,79.5,213
others,3,1611.0,2,64.44,219
Hosa Road,3,1639.0,3,80.0,95
Raja Rajeshwari Nagar,2,1303.0,2,55.79,176
Brookefield,3,1440.0,2,68.0,49
Seegehalli,2,901.0,2,35.14,188
Sarjapur,3,900.0,2,42.0,184
others,2,1060.0,2,55.0,219
NGR Layout,2,1020.0,2,48.45,159
Varthur,3,1535.0,3,65.99,206
others,1,530.0,1,20.0,219
others,2,1350.0,2,80.0,219
Sarjapur  Road,2,1115.0,2,50.0,185
Uttarahalli,2,1175.0,2,47.0,205
Whitefield,2,1113.0,2,62.0,213
Marathahalli,2,1325.0,2,71.55,153
Rachenahalli,2,1050.0,2,52.07,175
Thanisandra,3,1825.0,3,100.0,199
7th Phase JP Nagar,2,1190.0,2,49.98,7
Marathahalli,2,1220.0,2,56.5,153
NRI Layout,3,1565.0,2,75.0,160
Hennur Road,3,1891.0,3,109.0,90
Hosa Road,2,1161.0,2,55.15,95
Yeshwanthpur,1,665.0,1,36.85,218
Hoodi,2,1425.0,2,80.0,91
others,3,1200.0,3,56.12,219
Somasundara Palya,2,1255.0,2,67.0,192
Raja Rajeshwari Nagar,1,600.0,1,22.0,176
Haralur Road,3,1810.0,3,100.0,84
Harlur,2,1033.0,2,49.0,85
others,3,1548.0,3,89.5,219
Horamavu Banaswadi,3,1611.0,3,66.0,93
Vidyaranyapura,3,1485.0,2,67.0,208
others,2,1025.0,2,44.5,219
others,2,1225.0,2,53.0,219
5th Phase JP Nagar,2,1256.0,2,62.8,5
Kanakpura Road,3,1100.0,3,53.0,120
others,2,1141.0,2,62.0,219
Chandapura,2,1400.0,2,60.0,52
others,2,1175.0,2,48.27,219
Sahakara Nagar,2,1100.0,2,56.0,182
Kanakpura Road,3,1843.0,3,95.84,120
Horamavu Banaswadi,2,1460.0,2,80.5,93
Rachenahalli,3,1530.0,2,74.5,175
HSR Layout,2,1467.0,2,55.0,83
others,1,950.0,1,40.0,219
Vittasandra,2,1246.0,2,64.5,212
Kanakapura,1,711.0,1,38.0,119
Haralur Road,2,1194.0,2,46.0,84
Hoodi,2,1420.0,2,75.0,91
Kathriguppe,3,1250.0,2,68.75,125
Akshaya Nagar,2,1280.0,2,58.0,12
others,2,1209.0,2,50.0,219
others,5,4200.0,5,225.0,219
Panathur,3,1315.0,2,54.8,172
others,3,1800.0,3,90.0,219
TC Palaya,3,1600.0,2,65.0,197
Whitefield,3,1560.0,2,72.0,213
Brookefield,3,2169.0,4,115.0,49
Rachenahalli,2,1050.0,2,55.5,175
TC Palaya,3,1200.0,3,66.0,197
HSR Layout,2,1140.0,2,46.0,83
Horamavu Agara,3,1560.0,3,75.0,92
Hebbal,2,1036.0,2,50.0,86
Akshaya Nagar,3,1662.0,3,85.1,12
Sarjapur  Road,3,1403.0,3,55.0,185
others,4,915.0,4,54.9,219
Seegehalli,3,1150.0,2,42.9,188
Kanakapura,2,929.0,2,46.0,119
TC Palaya,3,1350.0,2,75.0,197
others,2,1405.0,2,70.0,219
Whitefield,2,1200.0,2,45.84,213
Haralur Road,4,2805.0,4,154.0,84
Yeshwanthpur,2,1161.0,2,64.08,218
Kanakpura Road,2,1290.0,2,74.0,120
Yeshwanthpur,3,2557.0,3,141.0,218
others,3,1480.0,3,90.0,219
Old Madras Road,3,1350.0,3,54.54,169
Kadugodi,3,1580.0,2,65.0,110
Banashankari,3,1470.0,2,88.64,27
Sarjapur  Road,2,1346.0,2,61.92,185
others,3,1600.0,3,90.0,219
Channasandra,3,1340.0,2,48.33,53
Jigani,2,918.0,2,48.0,106
Uttarahalli,3,1390.0,2,62.55,205
Uttarahalli,3,1330.0,2,56.0,205
Jalahalli East,3,1260.0,2,60.0,105
Hennur Road,3,1561.0,3,95.0,90
others,2,1060.0,2,42.0,219
Haralur Road,2,1225.0,2,67.38,84
Thanisandra,3,1240.0,2,62.0,199
Kanakpura Road,2,1500.0,2,69.0,120
Haralur Road,2,1243.0,2,46.0,84
Marathahalli,3,1575.0,3,78.0,153
Kambipura,3,1082.0,2,56.0,116
Konanakunte,3,1637.0,3,73.0,136
Kanakpura Road,3,1665.0,3,86.58,120
Electronic City,2,1265.0,2,56.93,70
Electronic City,3,1691.0,2,102.0,70
others,3,1500.0,3,62.0,219
Choodasandra,2,1115.0,2,50.0,57
Mysore Road,2,1070.0,2,45.0,158
Budigere,2,1162.0,2,57.0,50
others,2,1339.0,2,55.0,219
Haralur Road,3,1920.0,3,115.0,84
Hennur,2,1255.0,2,52.32,89
others,3,1600.0,3,75.0,219
others,2,1225.0,2,55.11,219
Kasturi Nagar,3,1570.0,3,80.0,124
Whitefield,3,1985.0,3,75.0,213
Electronic City Phase II,2,775.0,2,38.0,71
others,2,1000.0,2,50.0,219
Bommasandra,2,1035.0,2,41.0,47
Dasarahalli,3,1520.0,2,75.0,61
Kodigehaali,2,1117.0,2,56.0,132
Electronic City,2,1128.0,2,65.49,70
Neeladri Nagar,2,1053.0,2,45.0,165
Marathahalli,2,1152.0,2,56.0,153
Frazer Town,2,1625.0,2,75.0,73
Kaggalipura,1,700.0,1,38.0,112
Yelahanka,2,1170.0,2,62.5,215
others,2,1480.0,2,65.0,219
Haralur Road,3,1875.0,3,110.0,84
Yelahanka,3,1450.0,3,65.255,215
Sarjapur  Road,1,710.0,1,27.0,185
Sompura,3,1025.0,2,48.0,193
Magadi Road,2,1000.0,2,46.5,148
Thanisandra,2,971.5,2,36.435,199
Bellandur,2,1281.0,2,74.0,41
Varthur,2,1024.0,2,42.0,206
Electronic City,3,1620.0,3,62.0,70
Banashankari,3,1300.0,2,75.0,27
Battarahalli,3,1945.0,3,97.42,38
Uttarahalli,2,1008.0,2,45.0,205
Yelenahalli,2,1200.0,2,46.17,217
Sarjapur  Road,3,1403.0,3,51.63,185
Kudlu Gate,3,1535.0,3,85.0,141
Uttarahalli,3,1390.0,2,60.47,205
Raja Rajeshwari Nagar,3,1278.0,2,53.76,176
others,2,1133.0,2,55.0,219
Kogilu,2,1170.0,2,51.99,135
Whitefield,3,1697.0,3,94.79,213
Thanisandra,3,1651.0,3,97.38,199
Hennur Road,3,1192.0,2,60.0,90
OMBR Layout,2,1078.0,2,65.0,167
Kasavanhalli,2,1349.0,2,78.0,123
Rayasandra,3,1314.0,2,63.0,181
Garudachar Palya,2,1060.0,2,48.7,75
Kalyan nagar,2,820.0,2,39.0,115
others,3,2000.0,3,85.0,219
others,2,856.0,2,40.0,219
others,3,1200.0,3,68.4,219
others,4,14000.0,3,800.0,219
Yelahanka New Town,1,500.0,1,20.0,216
7th Phase JP Nagar,2,1050.0,2,42.0,7
Uttarahalli,3,1617.0,3,66.68,205
others,3,1384.0,3,62.28,219
Devanahalli,2,1408.0,2,85.0,62
Uttarahalli,2,1150.0,2,49.0,205
Akshaya Nagar,3,1410.0,2,75.0,12
Kaggadasapura,4,2150.0,4,100.0,111
others,3,1508.0,3,70.25,219
Ramamurthy Nagar,2,1040.0,2,50.0,180
TC Palaya,2,1240.0,2,60.0,197
